"","mod1","mod1_cr0","mod1_cr1","mod1_cr2","mod2","mod2_cr0","mod2_cr1","mod2_cr2","mod3","mod3_cr0","mod3_cr1","mod3_cr2","mod4","mod4_cr0","mod4_cr1","mod4_cr2","mod5","mod5_cr0","mod5_cr1","mod5_cr2","mod6","mod6_cr0","mod6_cr1","mod6_cr2","mod7","mod7_cr0","mod7_cr1","mod7_cr2"
"s2.u",NA,NA,NA,NA,0.0664,0.0664,0.0664,0.0664,0.0162,0.0162,0.0162,0.0162,0.0159,0.0159,0.0159,NA,0.0213,0.0213,0.0213,NA,0.0317,0.0317,0.0317,NA,0.0512,0.0512,0.0512,NA
"s2.s",NA,NA,NA,NA,NA,NA,NA,NA,0.0622,0.0622,0.0622,0.0622,0.0381,0.0381,0.0381,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA
"s2.n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0064,0.0064,0.0064,NA,0.0433,0.0433,0.0433,NA,0.035,0.035,0.035,NA,0.0231,0.0231,0.0231,NA
"s2.p",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.036,0.036,0.036,NA,0.0386,0.0386,0.0386,NA,0.0392,0.0392,0.0392,NA,0.0402,0.0402,0.0402,NA
"est",0.2505,0.2505,0.2505,0.2505,0.266,0.266,0.266,0.266,0.304,0.304,0.304,0.304,0.3279,0.3279,0.3279,NA,0.3245,0.3245,0.3245,NA,0.3229,0.3229,0.3229,NA,0.3208,0.3208,0.3208,NA
"se",0.004,0.0216,0.0217,0.022,0.01,0.0189,0.0189,0.0191,0.0179,0.0179,0.0179,0.0179,0.1094,0.0222,0.0223,NA,0.1135,0.0239,0.024,NA,0.1144,0.0238,0.0239,NA,0.1159,0.0238,0.0239,NA
"zval",62.0085,11.5745,11.5523,11.3649,26.6313,14.0637,14.0367,13.9593,16.9944,17.0283,16.9957,16.9952,2.9962,14.7379,14.7097,NA,2.8582,13.5654,13.5393,NA,2.8235,13.5437,13.5178,NA,2.7692,13.458,13.4322,NA
"pval",0,0,0,0,0,0,0,0,0,0,0,0,0.0028,0,0,NA,0.0043,0,0,NA,0.0048,0,0,NA,0.0057,0,0,NA
"ci.lb",0.2426,0.2079,0.2078,0.2063,0.2464,0.2287,0.2287,0.2282,0.2689,0.2688,0.2688,0.2688,0.1132,0.2841,0.284,NA,0.1017,0.2774,0.2773,NA,0.0985,0.2759,0.2758,NA,0.0935,0.2739,0.2738,NA
"ci.ub",0.2585,0.2932,0.2933,0.2948,0.2856,0.3032,0.3033,0.3038,0.3391,0.3391,0.3392,0.3392,0.5427,0.3717,0.3718,NA,0.5473,0.3716,0.3717,NA,0.5473,0.3698,0.3699,NA,0.5482,0.3678,0.3679,NA
"AIC",3136.9876,3136.9876,3136.9876,3136.9876,723.4636,723.4636,723.4636,723.4636,432.9719,432.9719,432.9719,432.9719,401.152,401.152,401.152,NA,399.048,399.048,399.048,NA,425.842,425.842,425.842,NA,510.6594,510.6594,510.6594,NA
