"sim","name","k.studies","k.species","mu","sigma2.n","sigma2.p","sigma2.s","sigma2.u","rho","save_location","job_number","scenario"
1,"study2",20,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",1,1
2,"study2",20,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",2,1
3,"study2",20,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",3,1
4,"study2",20,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",4,1
5,"study2",20,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",5,1
6,"study2",20,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",6,1
7,"study2",20,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",7,1
8,"study2",20,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",8,1
9,"study2",20,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",9,1
10,"study2",20,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",10,1
11,"study2",20,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",11,1
12,"study2",20,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",12,1
13,"study2",20,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",13,1
14,"study2",20,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",14,1
15,"study2",20,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",15,1
16,"study2",20,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",16,1
17,"study2",20,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",17,1
18,"study2",20,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",18,1
19,"study2",20,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",19,1
20,"study2",20,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",20,1
21,"study2",20,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",21,1
22,"study2",20,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",22,1
23,"study2",20,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",23,1
24,"study2",20,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",24,1
25,"study2",20,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",25,1
26,"study2",20,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",26,1
27,"study2",20,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",27,1
28,"study2",20,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",28,1
29,"study2",20,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",29,1
30,"study2",20,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",30,1
31,"study2",20,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",31,1
32,"study2",20,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",32,1
33,"study2",20,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",33,1
34,"study2",20,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",34,1
35,"study2",20,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",35,1
36,"study2",20,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",36,1
37,"study2",20,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",37,1
38,"study2",20,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",38,1
39,"study2",20,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",39,1
40,"study2",20,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",40,1
41,"study2",20,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",41,1
42,"study2",20,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",42,1
43,"study2",20,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",43,1
44,"study2",20,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",44,1
45,"study2",20,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",45,1
46,"study2",20,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",46,1
47,"study2",20,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",47,1
48,"study2",20,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",48,1
49,"study2",20,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",49,1
50,"study2",20,40,0.2,0.3,0.3,0.05,0.05,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",50,1
